"Id","Name","Parent","File","Components"
"ActionActivateDeathAcidifier","Activate Death-Acidifier","[BaseSuicideAction, BaseImplantAction]","Resources\Prototypes\Actions\types.yml","Action"
"ActionActivateDnaScramblerImplant","Scramble DNA","BaseImplantAction","Resources\Prototypes\Actions\types.yml","ConfirmableAction,LimitedCharges,Action"
"ActionActivateEmpImplant","Activate EMP","BaseImplantAction","Resources\Prototypes\Actions\types.yml","LimitedCharges,Action"
"ActionActivateFreedomImplant","Break Free","BaseImplantAction","Resources\Prototypes\Actions\types.yml","LimitedCharges,Action"
"ActionActivateHonkImplant","Honk","BaseImplantAction","Resources\Prototypes\Actions\types.yml","Action"
"ActionActivateMicroBomb","Activate Microbomb","[BaseSuicideAction, BaseImplantAction]","Resources\Prototypes\Actions\types.yml","Action"
"ActionActivateScramImplant","SCRAM!","BaseImplantAction","Resources\Prototypes\Actions\types.yml","LimitedCharges,Action"
"ActionAGhostShowCargo","Cargo Ordering Interface","BaseAGhostAction","Resources\Prototypes\Entities\Mobs\Player\admin_ghost.yml","InstantAction"
"ActionAGhostShowCommunications","Communications Interface","BaseAGhostAction","Resources\Prototypes\Entities\Mobs\Player\admin_ghost.yml","Action,InstantAction"
"ActionAGhostShowCrewMonitoring","Crew Monitoring Interface","BaseAGhostAction","Resources\Prototypes\Entities\Mobs\Player\admin_ghost.yml","Action,InstantAction"
"ActionAGhostShowRadar","Mass Scanner Interface","BaseAGhostAction","Resources\Prototypes\Entities\Mobs\Player\admin_ghost.yml","Action,InstantAction"
"ActionAGhostShowSolar","Solar Control Interface","BaseAGhostAction","Resources\Prototypes\Entities\Mobs\Player\admin_ghost.yml","InstantAction"
"ActionAGhostShowStationRecords","Station Records Interface","BaseAGhostAction","Resources\Prototypes\Entities\Mobs\Player\admin_ghost.yml","Action,InstantAction"
"ActionAIViewLaws","View Laws","BaseMentalAction","Resources\Prototypes\Actions\station_ai.yml","Action,InstantAction"
"ActionAnimalLayEgg","Lay egg","BaseAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionAnimateSpell","Animate","BaseEntitySpellAction","Resources\Prototypes\Magic\animate_spell.yml","Action,EntityTargetAction,Animate,MindContainer,InputMover,MobMover,MovementSpeedModifier,HTN,CombatMode,MeleeWeapon,NpcFactionMember,NoSlip,MovementAlwaysTouching,CanMoveInAir,Damageable,Destructible,Hands,CanEscapeInventory,MobCollision"
"ActionAnomalyPulse","Anomaly pulse","BaseAction","Resources\Prototypes\Actions\anomaly.yml","Action,InstantAction"
"ActionArtifactActivate","Activate Artifact","BaseAction","Resources\Prototypes\Entities\Objects\Specific\Xenoarchaeology\xenoartifacts.yml","Action,InstantAction"
"ActionBecomeValid","Become Valid","BaseToggleAction","Resources\Prototypes\Entities\Clothing\Head\misc.yml",""
"ActionBibleSummon","Summon familiar","BaseAction","Resources\Prototypes\Entities\Objects\Specific\Chapel\bibles.yml","Action,InstantAction"
"ActionBlink","Blink","BaseAction","Resources\Prototypes\Magic\teleport_spells.yml","Action,TargetAction,WorldTargetAction"
"ActionBorgSwapModule","Swap Module","BaseAction","Resources\Prototypes\Entities\Objects\Specific\Robotics\borg_modules.yml","Action,InstantAction"
"ActionChameleonController","Control clothing","","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionChangelingDevour","[color=red]Devour[/color]","","Resources\Prototypes\Actions\changeling.yml","Action,TargetAction,EntityTargetAction"
"ActionChangelingStore","DNA Store","ActionIntrinsicStore","Resources\Prototypes\Actions\changeling.yml",""
"ActionChangelingTransform","[color=red]Transform[/color]","","Resources\Prototypes\Actions\changeling.yml","Action,InstantAction"
"ActionChangeVoiceMask","Set name","BaseAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionChangeVoiceMaskImplant","","ActionChangeVoiceMask","Resources\Prototypes\Actions\types.yml","Action"
"ActionChargeSpell","Charge","BaseAction","Resources\Prototypes\Magic\utility_spells.yml","Action,InstantAction,SpeakOnAction"
"ActionClearNetworkLinkOverlays","Clear network link overlays","BaseMentalAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionCluwne","Cluwne's Curse","BaseSmiteAction","Resources\Prototypes\Magic\touch_spells.yml","Action,EntityTargetAction,Cluwne,SpeakOnAction,Magic"
"ActionCombatModeToggle","[color=red]Combat Mode[/color]","BaseMentalAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionCombatModeToggleOff","","ActionCombatModeToggle","Resources\Prototypes\Actions\types.yml","Action"
"ActionConfigureMeleeSpeech","Set Battlecry","BaseAction","Resources\Prototypes\Actions\speech.yml","Action,InstantAction"
"ActionCreateThrowingStar","Create throwing star","BaseAction","Resources\Prototypes\Actions\ninja.yml","Action,InstantAction"
"ActionCritFakeDeath","Fake Death","BaseCritAction","Resources\Prototypes\Actions\crit.yml","Action,InstantAction"
"ActionCritLastWords","Say Last Words","ActionCritSuccumb # for use delay","Resources\Prototypes\Actions\crit.yml","Action,InstantAction"
"ActionCritSuccumb","Succumb","BaseCritAction","Resources\Prototypes\Actions\crit.yml","Action,InstantAction"
"ActionDevour","[color=red]Devour[/color]","BaseAction","Resources\Prototypes\Entities\Mobs\Player\dragon.yml","Action,TargetAction,EntityTargetAction"
"ActionDisguiseAnchor","Toggle Anchored","BaseAction","Resources\Prototypes\Entities\Objects\Devices\chameleon_projector.yml","Action,InstantAction"
"ActionDisguiseNoRot","Toggle Rotation","BaseAction","Resources\Prototypes\Entities\Objects\Devices\chameleon_projector.yml","Action,InstantAction"
"ActionDragonsBreath","[color=orange]Dragon's Breath[/color]","BaseAction","Resources\Prototypes\Entities\Mobs\Player\dragon.yml","Action,TargetAction,WorldTargetAction"
"ActionEnergyKatanaDash","Katana dash","BaseAction","Resources\Prototypes\Actions\ninja.yml","Action,TargetAction,WorldTargetAction"
"ActionExplosionRune","Explosion Rune","BaseRuneAction","Resources\Prototypes\Magic\rune_spells.yml","Action,InstantAction"
"ActionFireball","Fireball","BaseAction","Resources\Prototypes\Magic\projectile_spells.yml","Magic,Action,TargetAction,WorldTargetAction,SpeakOnAction,ActionUpgrade"
"ActionFireballII","Fireball II","ActionFireball","Resources\Prototypes\Magic\projectile_spells.yml","Action"
"ActionFireballIII","Fireball III","ActionFireball","Resources\Prototypes\Magic\projectile_spells.yml","Action"
"ActionFireStarter","Ignite","BaseAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionFlashRune","Flash Rune","BaseRuneAction","Resources\Prototypes\Magic\rune_spells.yml","Action,InstantAction"
"ActionForceWall","forcewall","BaseAction","Resources\Prototypes\Magic\forcewall_spells.yml","Action,InstantAction,SpeakOnAction"
"ActionGhostBoo","Boo!","BaseMentalAction","Resources\Prototypes\Entities\Mobs\Player\observer.yml","Action,InstantAction"
"ActionGoliathTentacle","[color=red]Tentacle Slam[/color]","BaseAction","Resources\Prototypes\Entities\Mobs\NPCs\asteroid.yml","Action,TargetAction,WorldTargetAction"
"ActionGravityJump","Jump","BaseAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionIgniteRune","Ignite Rune","BaseRuneAction","Resources\Prototypes\Magic\rune_spells.yml","Action,InstantAction"
"ActionIntrinsicStore","Store","BaseMentalAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionItemRecall","Mark Item","BaseAction","Resources\Prototypes\Magic\recall_spell.yml","Action,InstantAction,ItemRecall"
"ActionJumpToCore","Jump to core","BaseAction","Resources\Prototypes\Actions\station_ai.yml","Action,InstantAction"
"ActionKnock","Knock","BaseAction","Resources\Prototypes\Magic\knock_spell.yml","Action,InstantAction,SpeakOnAction"
"ActionMappingEraser","Erase Entity","BaseMappingAction","Resources\Prototypes\Actions\mapping.yml","Action,InstantAction"
"ActionMechCycleEquipment","Cycle","BaseMechAction","Resources\Prototypes\Actions\mech.yml","Action,InstantAction"
"ActionMechEject","Eject","BaseMechAction","Resources\Prototypes\Actions\mech.yml","Action,InstantAction"
"ActionMechOpenUI","Control Panel","BaseMechAction","Resources\Prototypes\Actions\mech.yml","Action,InstantAction"
"ActionMimeInvisibleWall","Create Invisible Wall","BaseAction","Resources\Prototypes\Roles\Jobs\Civilian\mime.yml","Action,InstantAction"
"ActionMindSwap","Mind Swap","BaseEntitySpellAction","Resources\Prototypes\Magic\mindswap_spell.yml","Action,EntityTargetAction,SpeakOnAction"
"ActionNinjaEmp","EM Burst","BaseAction","Resources\Prototypes\Actions\ninja.yml","Action,InstantAction"
"ActionOpenStorageImplant","Toggle Storage Implant","BaseAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionOpenUplinkImplant","Open Uplink","BaseAction","Resources\Prototypes\Actions\types.yml","Action,InstantAction"
"ActionPAIMassScanner","Mass Scanner","BaseMentalAction","Resources\Prototypes\Entities\Objects\Fun\pai.yml","Action,InstantAction"
"ActionPAIOpenMap","Open Map","BaseMentalAction","Resources\Prototypes\Entities\Objects\Fun\pai.yml","Action,InstantAction"
"ActionPAIOpenShop","Software Catalog","ActionIntrinsicStore","Resources\Prototypes\Entities\Objects\Fun\pai.yml",""
"ActionPAIPlayMidi","Play MIDI","BaseMentalAction","Resources\Prototypes\Entities\Objects\Fun\pai.yml","Action,InstantAction"
"ActionPolymorphJaunt","Ethereal Jaunt","BaseActionPolymorph","Resources\Prototypes\Actions\polymorph.yml","Magic,Action,InstantAction,ActionUpgrade"
"ActionPolymorphJauntII","Ethereal Jaunt II","ActionPolymorphJaunt","Resources\Prototypes\Actions\polymorph.yml","Action"
"ActionPolymorphJauntIII","Ethereal Jaunt III","ActionPolymorphJaunt","Resources\Prototypes\Actions\polymorph.yml","Action"
