"Id","Name","Parent","File","Components"
"Acidifier","acid","","Resources\Prototypes\Entities\Effects\acidifier.yml","Transform,InteractionOutline,Physics,Sprite,Fixtures,TimedDespawn"
"ActionAnomalyPulse","Anomaly pulse","BaseAction","Resources\Prototypes\Actions\anomaly.yml","Action,InstantAction"
"AdMechComputerModular","С‚РµСЂРјРёРЅР°Р»","[BaseComputer, BaseMachinePowered]","Resources\Prototypes\_WH40K\Entities\Structures\Machines\Computers\ComputerModular.yml","Sprite,SpriteFade,AmbientSound,PointLight,Transform,LitOnPowered,ApcPowerReceiver,ExtensionCableReceiver,Physics,ActivatableUIRequiresPower,Computer,PowerMonitoringConsole,PowerMonitoringCableNetworks,NodeContainer,ActivatableUI,UserInterface,MaterialStorage,Fixtures,Repairable,WiresPanel,Destructible,Appearance,GenericVisualizer,WiresVisuals"
"AdminInstantEffectBase","instant effect","","Resources\Prototypes\Entities\Effects\admin_triggers.yml","Sprite,TriggerOnSpawn,TimedDespawn"
"AdminInstantEffectBluespace","","AdminInstantEffectBase","Resources\Prototypes\Entities\Effects\admin_triggers.yml","SpawnOnTrigger"
"AdminInstantEffectEMP","","AdminInstantEffectBase","Resources\Prototypes\Entities\Effects\admin_triggers.yml","EmpOnTrigger"
"AdminInstantEffectFlash","","AdminInstantEffectBase","Resources\Prototypes\Entities\Effects\admin_triggers.yml","FlashOnTrigger,SpawnOnTrigger"
"AdminInstantEffectGravityWell","","AdminInstantEffectBase","Resources\Prototypes\Entities\Effects\admin_triggers.yml","EmitSoundOnTrigger,AmbientSound,GravityWell,SingularityDistortion"
"AdminInstantEffectSmoke10","","AdminInstantEffectBase","Resources\Prototypes\Entities\Effects\admin_triggers.yml","SmokeOnTrigger,EmitSoundOnTrigger,TimerTriggerVisuals"
"AdminInstantEffectSmoke3","","AdminInstantEffectBase","Resources\Prototypes\Entities\Effects\admin_triggers.yml","SmokeOnTrigger,EmitSoundOnTrigger,TimerTriggerVisuals"
"AdminInstantEffectSmoke30","","AdminInstantEffectBase","Resources\Prototypes\Entities\Effects\admin_triggers.yml","SmokeOnTrigger,EmitSoundOnTrigger,TimerTriggerVisuals"
"AdminInstantEffectTearGas","","AdminInstantEffectBase","Resources\Prototypes\Entities\Effects\admin_triggers.yml","SmokeOnTrigger"
"AdminObserver","admin observer","[MobObserverBase, InventoryBase]","Resources\Prototypes\Entities\Mobs\Player\admin_ghost.yml","ContentEye,Tag,Input,Ghost,GhostHearing,Hands,ComplexInteraction,Puller,CombatMode,Physics,Access,UserInterface,IntrinsicUI,SolarControlConsole,CommunicationsConsole,RadarConsole,CargoOrderConsole,CrewMonitoringConsole,GeneralStationRecordConsole,DeviceNetwork,WirelessNetworkConnection,StationLimitedNetwork,Thieving,Stripping,SolutionScanner,IgnoreUIRange,ShowAntagIcons,ShowContrabandDetails,Inventory,Loadout,BypassInteractionChecks,ExplosionResistance"
"AirGrenade","air grenade","[ BaseEngineeringContraband, VolatileGrenadeBase, TimerGrenadeBase ] # Prevent inheriting DeleteOnTrigger from SmokeGrenade","Resources\Prototypes\Entities\Objects\Weapons\Throwable\canister_grenades.yml","Sprite,EmitSoundOnTrigger,TimerTriggerVisuals,TimerTrigger,ReleaseGasOnTrigger,StaticPrice,GenericVisualizer"
"AlwaysPoweredStrobeLight","strobe","","Resources\Prototypes\Entities\Structures\Lighting\strobe_lighting.yml","AmbientSound,MeleeSound,Transform,Clickable,InteractionOutline,Construction,Sprite,PointLight,RotatingLight,Physics,Fixtures,Damageable,Destructible"
"AmbientSoundSourceFlies","","","Resources\Prototypes\Entities\Effects\ambient_sounds.yml","AmbientSound,Tag"
"AmeController","AME controller","","Resources\Prototypes\Entities\Structures\Power\Generation\ame.yml","Clickable,InteractionOutline,Sprite,Physics,Fixtures,Damageable,Destructible,Transform,Anchorable,Pullable,AmeController,Explosive,ActivatableUI,UserInterface,Appearance,GenericVisualizer,NodeContainer,PowerMonitoringDevice,PowerSupplier,ItemSlots,ContainerContainer,GuideHelp,Electrified"
"AnomalousParticleDelta","delta particles","BaseBullet","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","PointLight,AnomalousParticle,Sprite,Ammo,Physics,Fixtures,Projectile,TimedDespawn,Reflective"
"AnomalyBluespace","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,BluespaceAnomaly,Portal,Fixtures,Anomaly"
"AnomalyCoreBluespace","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreBluespaceInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreElectricity","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight,Electrified"
"AnomalyCoreElectricityInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreFlesh","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreFleshInert # Can be microwaved to turn it into a massive piece of meat","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreFlora","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Seed,Sprite,PointLight"
"AnomalyCoreFloraInert #Turns into a seed that grows into artifexium","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Seed,Sprite,PointLight"
"AnomalyCoreGravity","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreGravityInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreIce","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreIceInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreLiquid","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreLiquidInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCorePyroclastic","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight,IgnitionSource"
"AnomalyCorePyroclasticInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreRock","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreRockInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreSanta","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreSantaInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreShadow","","[ BaseAnomalyCore, BaseShadow ]","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreShadowInert","","[ BaseAnomalyInertCore, BaseShadow ]","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreTech","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyCoreTechInert","","BaseAnomalyInertCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,PointLight"
"AnomalyElectricity","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Anomaly,Sprite,PointLight,ElectricityAnomaly,Electrified"
"AnomalyFlesh","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Anomaly,Sprite,PointLight,TileSpawnAnomaly,EntitySpawnAnomaly"
"AnomalyFlora","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,Anomaly,TileSpawnAnomaly,EntitySpawnAnomaly"
"AnomalyFloraBulb","strange glowing berry","BaseStructure","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Transform,Physics,Fixtures,InteractionOutline,Damageable,Destructible,PointLight,Sprite"
"AnomalyGravity","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Anomaly,Sprite,PointLight,GravityAnomaly,GravityWell,RadiationSource,Physics,CanMoveInAir,RandomWalk,SingularityDistortion"
"AnomalyIce","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,Anomaly,ExplosionAnomaly,ProjectileAnomaly,EntitySpawnAnomaly,TempAffectingAnomaly,GasProducerAnomaly,DamageOnInteract,DamageOnAttacked"
"AnomalyInjectionBase","","","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,ActionGrant"
"AnomalyInjectionBluespace","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,BluespaceAnomaly"
"AnomalyInjectionElectric","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,ElectricityAnomaly"
"AnomalyInjectionFlesh","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,TileSpawnAnomaly,EntitySpawnAnomaly"
"AnomalyInjectionFlora","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,TileSpawnAnomaly,EntitySpawnAnomaly"
"AnomalyInjectionGravity","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,GravityAnomaly,GravityWell,SingularityDistortion"
"AnomalyInjectionIce","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,ExplosionAnomaly,ProjectileAnomaly,EntitySpawnAnomaly,TempAffectingAnomaly,GasProducerAnomaly"
"AnomalyInjectionPyroclastic","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,PyroclasticAnomaly,TempAffectingAnomaly,GasProducerAnomaly,ProjectileAnomaly"
"AnomalyInjectionRock","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,TileSpawnAnomaly,EntitySpawnAnomaly"
"AnomalyInjectionSanta","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,EntitySpawnAnomaly"
"AnomalyInjectionShadow","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,EntitySpawnAnomaly"
"AnomalyInjectionTech","","AnomalyInjectionBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injections.yml","PointLight,TechAnomaly,DeviceLinkSource,WirelessNetworkConnection,DeviceNetwork"
"AnomalyLiquid","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,RandomSprite,PointLight,BadFood,Anomaly,EntitySpawnAnomaly,SolutionContainerManager,PuddleCreateAnomaly,InjectionAnomaly,ReagentProducerAnomaly,Edible,DrainableSolution,DrawableSolution,ExaminableSolution,RefillableSolution,InjectableSolution"
"AnomalyLocator","","[ AnomalyLocatorUnpowered, PowerCellSlotSmallItem ]","Resources\Prototypes\Entities\Objects\Specific\Research\anomaly.yml","PowerCellDraw,ToggleCellDraw"
"AnomalyLocatorEmpty","power-cell-slot-component-slot-name-default","AnomalyLocator","Resources\Prototypes\Entities\Objects\Specific\Research\anomaly.yml","ItemSlots"
"AnomalyLocatorUnpowered","anomaly locator","BaseItem","Resources\Prototypes\Entities\Objects\Specific\Research\anomaly.yml","Sprite,Appearance,GenericVisualizer,ItemToggle,ProximityBeeper,ProximityDetector,Anomaly,Beeper"
"AnomalyLocatorWide","","[ AnomalyLocatorWideUnpowered, PowerCellSlotSmallItem ]","Resources\Prototypes\Entities\Objects\Specific\Research\anomaly.yml","PowerCellDraw,ToggleCellDraw"
"AnomalyLocatorWideEmpty","power-cell-slot-component-slot-name-default","AnomalyLocatorWide","Resources\Prototypes\Entities\Objects\Specific\Research\anomaly.yml","ItemSlots"
"AnomalyLocatorWideUnpowered","wide-spectrum anomaly locator","AnomalyLocatorUnpowered","Resources\Prototypes\Entities\Objects\Specific\Research\anomaly.yml","Sprite,Beeper,ProximityDetector"
"AnomalyPyroclastic","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","AmbientSound,Anomaly,Sprite,PointLight,PyroclasticAnomaly,TempAffectingAnomaly,GasProducerAnomaly,ProjectileAnomaly,IgnitionSource,IgniteOnCollide,DamageOnInteract,DamageOnAttacked"
"AnomalyRockBananium","","AnomalyRockBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,EntitySpawnAnomaly"
"AnomalyRockBase","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Anomaly,Sprite,PointLight,TileSpawnAnomaly"
"AnomalyRockCoal","","AnomalyRockBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,EntitySpawnAnomaly"
"AnomalyRockGold","","AnomalyRockBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,EntitySpawnAnomaly"
"AnomalyRockIron","","AnomalyRockBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,EntitySpawnAnomaly"
